007 legends,0.70
0rbitalis,0.40
1... 2... 3... kick it! (drop that beat like an ugly baby),4.00
10 second ninja,2.95
100% orange juice,8.70
1000 amps,0.10
10000000,3.60
12 labours of hercules,4.96
12 labours of hercules ii the cretan bull,4.29
12 labours of hercules iii girl power,6.53
140,1.26
15 days,0.50
16bit trader,4.45
1701 a.d. sunken dragon,0.60
18 wheels of steel american long haul,5.80
1953 nato vs warsaw pact,5.90
1quest,2.70
3 stars of destiny,4.70
3089 -- futuristic action rpg,0.30
3d mini golf,1.00
3dmark,13.38
3dmark 11,3.00
3dmark vantage,21.00
4 elements,14.85
404sight,0.53
500 years act 1,3.00
60 seconds!,1.86
7 days to die,41.59
8bitboy,3.40
8bitmmo,0.46
9 clues 2 the ward,5.10
9 clues the secret of serpent creek,2.80
9.03m,0.30
99 levels to hell,1.38
99 spirits,3.90
a bird story,1.66
a game of thrones - genesis,6.09
a golden wake,1.20
a new beginning - final cut,7.27
a story about my uncle,3.40
a valley without wind,1.12
a valley without wind 2,0.30
a virus named tom,1.96
a walk in the dark,1.25
a-train 8,0.10
a.r.e.s.,2.89
a.r.e.s. extinction agenda ex,9.60
a.v.a - alliance of valiant arms,4.04
aaaaaa!!! - a reckless disregard for gravity,4.48
aaaaaaaaaaaaaaaaaaaaaaaaa!!! for the awesome,1.13
abandoned chestnut lodge asylum,5.70
abducted,0.20
aberoth,0.35
absconding zatwor,11.10
absolute drift,1.97
abyss odyssey,3.92
abyss the wraiths of eden,6.80
ace - arena cyber evolution,0.58
ace combat assault horizon enhanced edition,3.52
ace of spades,7.34
aces wild manic brawling action!,0.35
achron,0.87
act of aggression,4.25
action! - gameplay recording and streaming,89.67
actual sunlight,1.30
adventure capitalist,43.03
adventure chronicles the search for lost treasure,0.70
adventure park,0.90
adventure time  explore the dungeon because i dont know!,0.30
adventurer manager,21.00
adventures of bertram fiddle episode 1 a dreadly business,1.70
adventures of shuggy,1.55
aeon command,0.43
aerena,2.20
aerofly rc 7,0.20
afterfall insanity - dirty arena edition,0.45
afterfall insanity extended edition,1.86
afterlife empire,0.20
aftermath,5.10
agarest generations of war,15.69
agarest zero,10.60
age of chivalry,16.72
age of conan rise of the godslayer,4.60
age of conan unchained - eu version,20.53
age of empires ii hd edition,34.29
age of empires iii complete collection,17.13
age of empires online,83.20
age of mythology extended edition,13.01
age of wonders,16.40
age of wonders 2,31.60
age of wonders iii,35.04
age of wonders shadow magic,17.90
aggression europe under fire,0.60
agricultural simulator 2011 extended edition,0.10
agricultural simulator 2013 steam edition,23.20
ai war fleet command,3.50
aion,10.35
aion collectors edition,22.00
aion free-to-play,6.67
air brawl,2.45
air conflicts - secret wars,1.65
air conflicts pacific carriers,2.53
airbuccaneers,0.78
airline tycoon 2,6.20
airline tycoon deluxe,0.60
airmech,12.12
airport madness world edition,9.00
airport simulator 2014,8.50
akane the kunoichi,1.65
akaneiro demon hunters,0.40
akiba's trip undead & undressed,12.00
akuatica,0.40
alan wake,11.88
alan wake's american nightmare,3.44
albino lullaby episode 1,1.50
alchemy mysteries prague legends,3.98
alex hunter - lord of the mind,2.70
alganon,0.50
alice madness returns,8.21
alien breed 2 assault,5.14
alien breed 3 descent,9.07
alien breed impact,8.58
alien isolation,11.58
alien rage - unlimited,2.88
alien shooter revisited,0.10
alien shooter vengeance,4.43
alien swarm,5.21
aliens colonial marines,9.96
aliens versus predator classic 2000,1.73
aliens vs. predator,12.49
all is dust,1.43
all zombies must die!,4.43
alone in the dark,0.40
alpha kimori episode one,1.80
alpha prime,0.57
alpha protocol,3.52
alter world,0.10
altitude,5.45
always sometimes monsters,4.76
amazing adventures around the world,12.00
amazing adventures the lost tomb,3.30
amazing princess sarah,0.80
amazing world,1.85
america's army 3,10.62
america's army proving grounds,27.00
american conquest,0.30
american conquest - fight back,0.40
amnesia a machine for pigs,4.41
amnesia memories,4.90
amnesia the dark descent,5.08
among ripples,0.43
among the sleep,1.73
ampu-tea,0.87
an assassin in orlandes,5.00
anachronox,0.10
analogue a hate story,3.24
anarchy arcade,1.38
ancient planet,2.50
ancient space,27.00
and yet it moves,1.31
angels fall first,5.07
angels of fasaria version 2.0,9.90
angry birds space,2.70
angry video game nerd adventures,1.97
angvik,0.30
anna - extended edition,3.58
anna's quest,9.25
anno 1404,14.22
anno 1404 venice,16.75
anno 2070,29.42
anno 2205,22.00
anno online,93.03
anodyne,3.07
anomaly 2,1.52
anomaly korea,0.90
anomaly warzone earth,2.09
anomaly warzone earth mobile campaign,2.10
another perspective,0.30
another world,1.24
anoxemia,6.15
antichamber,2.79
antisquad,16.20
apb reloaded,66.94
aperture tag the paint gun testing initiative,1.80
apollo4x,3.80
apotheon,2.92
apotheon arena,0.90
apox,0.40
aqua kitty - milk mine defender,0.30
aquanox,0.45
aquaria,4.29
ar-k,0.40
arcadia,0.60
arcane worlds,0.20
arcania,5.97
archeage,27.74
archeblade,4.36
archonclassic,1.30
arctic combat,6.13
ark survival evolved,86.03
arma 2,5.62
arma 2 british armed forces,0.23
arma 2 dayz mod,2.51
arma 2 free,0.53
arma 2 operation arrowhead,49.89
arma 2 operation arrowhead beta (obsolete),6.57
arma 2 private military company,0.77
arma 3,153.22
arma cold war assault,1.40
arma combat operations,33.07
arma tactics,1.94
armada 2526,0.60
armello,7.00
armikrog,4.70
arms dealer,1.90
artemis spaceship bridge simulator,2.83
artrage studio pro,9.30
arx fatalis,12.46
ascend hand of kul,5.66
ascendant,5.00
ashes of the singularity,0.70
assassin's creed,11.54
